Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TN,2018,"6         ",Female,11,Right-Handed,152.4,30,152.4,2,Car,2,,,Rowing,0,0,0,0,50,50,30,"Same length",76.2,2.8,"Index finger",April,Summer,No,Yes,Poultry,Tea,History,10,5,3,"Yes - broadband connection","Text messaging",0,2,10,1,5,20,2,0,4,1,15,3,0,0,Some,"Graduate degree",Pop,Telepathy,Rich,Teacher,Religious
USA,OH,2018,"7         ",Male,14,Right-Handed,167,24,154,1,Car,20,0.518,74,Baseball/Softball,4,1,3,2,5,6,24,"Same length",8,7,"Index finger",October,Summer,Yes,No,Seafood,"Soft drink (caffeinated)",Music,8,11,5,"Yes - broadband connection","Text messaging",10,6,2,1,4,6,7,3,2,2,2,2,0,1,Some,"Graduate degree",Other,"Freeze time",Happy,Other,"Wildlife, animals"
USA,PA,2018,"12        ",Female,17,Left-Handed,150,23,147,1,Car,7,0.431,40,Other,845,668,529,1000,615,719,23,"Same length",80,90,"Ring finger",May,Fall,No,No,Pizza/Pasta,Coffee,Science,7,9,5,"Yes - other","Text messaging",51,75,8,2,8,5,3,3,1,4,5,10,26,3,"A lot",Other,Pop,"Freeze time",Happy,Teacher,"International aid"
USA,CA,2018,"11        ",Female,16,Right-Handed,163,22.5,162,2.5,Bus,40,0.582,52,Soccer,1000,1000,1000,1000,1000,1000,22,"Right foot",1.9,1.7,"Index finger",February,Spring,Yes,No,Poultry,Juice,Languages,1,2,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",200,200,1,5,4,2,1,0,3,3,1,0,1,2,"A lot","High school",Pop,"Freeze time",Happy,Actor,"Arts, culture, sports"
USA,CO,2018,"12        ",Female,17,Right-Handed,170,24,175,1,Car,10,.38,40,Swimming,1000,1000,1000,1000,850,950,25,"Left foot",80,85,"Ring finger",January,Winter,No,Yes,Fruit,Coffee,Science,5,7,3,"Yes - broadband connection","In person",90,90,15,0,25,4,0,0,6,2,20,1,0,2,"A lot","Graduate degree",Pop,Fly,Happy,"Doctor or nurse","Education/Youth development"
USA,CA,2018,"6         ",Female,10,Right-Handed,137.2,21,119,1,Car,10,0.551,52,Soccer,1000,1000,1000,1000,75,70,21,"Same length",60,70,"Ring finger",August,Spring,Yes,Yes,"No favorite",Water,"Mathematics and statistics",7,8,4,"Yes - other","In person",0,0,2,0.1,8,51,4,2,2,1,2,3,1,1,Some,"Some college",Other,"Freeze time",Healthy,Other,"Wildlife, animals"
USA,CA,2018,"8         ",Male,13,Right-Handed,158.6,21,152,1,Car,11,0.34,38,Walking/Hiking,866,679,743,797,524,540,22,"Left foot",60,50.8,"Index finger",December,Fall,No,No,Desserts,"Soft drink (caffeinated)",Art,7,6,4,"Yes - broadband connection","Internet chat or instant messaging",20,37,8,1,1,19,1,50,81,79,81,10,0,1,Some,Other,Other,Fly,Happy,Friend,"Education/Youth development"
USA,TX,2018,"12        ",Male,17,Right-Handed,185,43,183,1,Car,20,.339,45,"Table Tennis",0,0,0,0,1000,1000,43,"Same length",100,96,"Index finger",March,Winter,No,No,Meat,Water,English,5,6,4,"Yes - broadband connection","Text messaging",200,200,4,1,0,2,0,15,5,4,5,1,30,4,None,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer",Religious
USA,WI,2018,"12        ",Female,16,Right-Handed,162.5,23,161,1,Car,11,"0.4 ",43,Other,695,701,460,332,59,626,24,"Left foot",75,75,"Same length",January,Summer,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,7,7,0,4,8,10,14,15,1,11,3,0,5,"A lot","Graduate degree","Rap/Hip hop","Super strength",Rich,Friend,"Wildlife, animals"
USA,ID,2018,"12        ",Female,20,Right-Handed,151.1,22.5,155.6,1,Walk,10,.425,31,Dancing,733,818,930,647,433,294,23,"Left foot",67,65,"Index finger",August,Fall,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",4,9,6,"Yes - broadband connection",Other,4,8,4,3,20,6,1.5,0,1,.5,20,28,20,2,"A lot",Other,Pop,"Freeze time",Rich,Teacher,"Education/Youth development"
